Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,85 Turner St,2.0,h,1480000.0,S,Biggin,2016-12-03,2.5,3067.0,2.0,1.0,1.0,202.0,95.88209864641242,1970.0,Yarra,-37.7996,144.9984,Northern Metropolitan,4019.0
Abbotsford,25 Bloomburg St,2.0,h,1035000.0,S,Biggin,2016-02-04,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019.0
Abbotsford,5 Charles St,3.0,h,1465000.0,SP,Biggin,2017-03-04,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019.0
Abbotsford,40 Federation La,3.0,h,850000.0,PI,Biggin,2017-03-04,2.5,3067.0,3.0,2.0,1.0,94.0,39.27210453124389,1970.0,Yarra,-37.7969,144.9969,Northern Metropolitan,4019.0
Abbotsford,55a Park St,4.0,h,1600000.0,VB,Nelson,2016-06-04,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019.0
Abbotsford,129 Charles St,2.0,h,941000.0,S,Jellis,2016-05-07,2.5,3067.0,2.0,1.0,0.0,181.0,65.75772426935939,1970.0,Yarra,-37.8041,144.9953,Northern Metropolitan,4019.0
Abbotsford,124 Yarra St,3.0,h,1876000.0,S,Nelson,2016-05-07,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019.0
Abbotsford,98 Charles St,2.0,h,1636000.0,S,Nelson,2016-10-08,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019.0
Abbotsford,10 Valiant St,2.0,h,1097000.0,S,Biggin,2016-10-08,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019.0
Abbotsford,40 Nicholson St,3.0,h,1350000.0,VB,Nelson,2016-11-12,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019.0
Abbotsford,45 William St,2.0,h,1172500.0,S,Biggin,2016-08-13,2.5,3067.0,2.0,1.0,1.0,195.0,79.98716542469462,1970.0,Yarra,-37.8084,144.9973,Northern Metropolitan,4019.0
Abbotsford,16 William St,2.0,h,1310000.0,S,Jellis,2016-10-15,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019.0
Abbotsford,42 Henry St,3.0,h,1200000.0,S,Jellis,2016-07-16,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019.0
